Date,Open,High,Low,Close,Adj Close,Volume
2020-12-27,3.900078,3.976095,3.522945,3.946601,3.946601,490981
2020-12-28,3.948043,4.442566,3.595853,4.129671,4.129671,357524
2020-12-29,4.129562,5.276080,3.849730,5.259158,5.259158,477354
2020-12-30,5.259913,7.915935,4.901609,5.674815,5.674815,631394
2020-12-31,5.672584,5.711470,4.894198,5.042187,5.042187,338392
2021-01-01,5.041951,6.499263,4.926416,6.398921,6.398921,456522
2021-01-02,6.398840,7.143882,6.174989,6.915656,6.915656,615845
2021-01-03,6.916651,6.961534,6.056316,6.645786,6.645786,787701
2021-01-04,6.646345,7.118414,6.098459,7.072808,7.072808,511961
2021-01-05,7.072936,7.472566,6.825300,7.382630,7.382630,1324395
2021-01-06,7.382766,8.320214,7.343435,8.140183,8.140183,343364
2021-01-07,8.140641,8.829904,7.812140,7.955063,7.955063,4225676
2021-01-08,7.955192,8.544936,7.859691,8.518355,8.518355,2375311
2021-01-09,8.518351,8.697954,8.214739,8.613777,8.613777,3942382
2021-01-10,8.614047,13.418673,8.595757,13.418673,13.418673,4898425
2021-01-11,13.426013,15.232501,12.214857,15.232501,15.232501,607467
2021-01-12,15.230095,18.882822,15.230095,18.634708,18.634708,1658865
2021-01-13,18.631250,18.631250,13.226825,15.168081,15.168081,1341709
2021-01-14,15.165377,15.853046,14.044247,15.853046,15.853046,3736447
2021-01-15,15.852759,19.934237,15.717999,19.810123,19.810123,7401698
2021-01-16,19.809612,29.256025,19.561529,25.773926,25.773926,6319860
2021-01-17,25.774141,26.112303,21.909288,25.445656,25.445656,3356316
2021-01-18,25.443815,26.846418,25.027367,25.121298,25.121298,4178870
2021-01-19,25.121197,26.084970,24.333368,24.632257,24.632257,815012
2021-01-20,24.633396,25.424877,17.333338,18.322731,18.322731,703570
2021-01-21,18.308559,18.313885,12.295171,12.332637,12.332637,2407825
2021-01-22,12.333101,14.509756,7.878452,7.972373,7.972373,266192
2021-01-23,7.973566,9.225881,5.048113,5.392825,5.392825,3022606
2021-01-24,5.393213,8.509625,5.284735,7.789728,7.789728,3162527
2021-01-25,7.789574,7.915040,5.305755,5.305755,5.305755,4159010
2021-01-26,5.312188,5.312359,3.353016,3.424217,3.424217,6991319
2021-01-27,3.421332,3.456024,2.946785,3.084112,3.084112,4977692
2021-01-28,3.081258,5.516846,3.079644,5.488981,5.488981,9513154
2021-01-29,5.790103,5.879951,5.063585,5.621919,5.621919,3171923
2021-01-30,5.616594,5.730194,5.085930,5.160332,5.160332,1426751
2021-01-31,5.160041,6.097522,5.127591,5.659335,5.659335,2396298
2021-02-01,5.659131,5.952227,5.489802,5.745686,5.745686,764177
2021-02-02,5.744481,5.926771,5.048652,5.072439,5.072439,2975717
2021-02-03,5.091966,5.330686,4.891571,5.044039,5.044039,3457025
2021-02-04,5.042014,5.042681,4.454042,4.464215,4.464215,1681824
2021-02-05,4.462886,4.531565,4.253563,4.253563,4.253563,1098768
2021-02-06,4.253411,4.489458,4.185259,4.326025,4.326025,1324849
2021-02-07,4.324456,4.888614,4.204256,4.823231,4.823231,1614081
2021-02-08,4.823964,5.083272,4.685340,4.951986,4.951986,1079035
2021-02-09,4.950875,7.857401,4.950875,7.801584,7.801584,10691163
2021-02-10,7.779837,7.846725,6.640941,6.760182,6.760182,3816996
2021-02-11,6.759835,6.833935,6.446557,6.640647,6.640647,2922282
2021-02-12,6.640203,6.804443,6.194991,6.768385,6.768385,1994594
2021-02-13,6.765025,7.688125,6.689080,7.641687,7.641687,3600330
2021-02-14,7.641472,8.923423,7.622105,8.703320,8.703320,4200762
2021-02-15,8.711466,8.830556,7.938113,8.246282,8.246282,3859500
