date,price,symbol
6/3/2021,1.01,FRAX
6/4/2021,1.01,FRAX
6/5/2021,1.01,FRAX
6/6/2021,1,FRAX
6/7/2021,0.991272433,FRAX
6/8/2021,0.995970977,FRAX
6/9/2021,0.999473579,FRAX
6/10/2021,0.998405694,FRAX
6/11/2021,0.999513938,FRAX
6/12/2021,0.996711255,FRAX
6/13/2021,0.998914743,FRAX
6/14/2021,1,FRAX
6/15/2021,1,FRAX
6/16/2021,0.998216205,FRAX
6/17/2021,1,FRAX
6/18/2021,1.01,FRAX
6/19/2021,1,FRAX
6/20/2021,1,FRAX
6/21/2021,0.992876222,FRAX
6/22/2021,0.998663271,FRAX
6/23/2021,1,FRAX
6/24/2021,1,FRAX
6/25/2021,1.007686717,FRAX
6/26/2021,1.01,FRAX
6/27/2021,1,FRAX
6/28/2021,1,FRAX
6/29/2021,1,FRAX
6/30/2021,1,FRAX
7/1/2021,1,FRAX
7/2/2021,1,FRAX
7/3/2021,1,FRAX
7/4/2021,1,FRAX
7/5/2021,0.99885364,FRAX
7/6/2021,1.01,FRAX
7/7/2021,0.999877406,FRAX
7/8/2021,1.01,FRAX
7/9/2021,1,FRAX
7/10/2021,1,FRAX
7/11/2021,0.999170093,FRAX
7/12/2021,1.01,FRAX
7/13/2021,0.998529364,FRAX
7/14/2021,1,FRAX
7/15/2021,0.996690886,FRAX
7/16/2021,0.999917066,FRAX
7/17/2021,1,FRAX
7/18/2021,1,FRAX
7/19/2021,1,FRAX
7/20/2021,1,FRAX
7/21/2021,1,FRAX
7/22/2021,1,FRAX
7/23/2021,1,FRAX
7/24/2021,1.01,FRAX
7/25/2021,1,FRAX
7/26/2021,0.998143266,FRAX
7/27/2021,1,FRAX
7/28/2021,1,FRAX
7/29/2021,0.999469284,FRAX
7/30/2021,1.01,FRAX
7/31/2021,1,FRAX
8/1/2021,1,FRAX
8/2/2021,0.998848897,FRAX
8/3/2021,1,FRAX
8/4/2021,1,FRAX
8/5/2021,1,FRAX
8/6/2021,1,FRAX
8/7/2021,1.01,FRAX
8/8/2021,0.995928305,FRAX
8/9/2021,0.997267202,FRAX
8/10/2021,0.99870058,FRAX
8/11/2021,0.998789644,FRAX
8/12/2021,1.003885196,FRAX
8/13/2021,1.002795023,FRAX
8/14/2021,1.00337464,FRAX
8/15/2021,1.00112027,FRAX
8/16/2021,0.999061131,FRAX
8/17/2021,0.997977532,FRAX
8/18/2021,1.000259193,FRAX
8/19/2021,1.011762177,FRAX
8/20/2021,1.002018279,FRAX
8/21/2021,0.999978321,FRAX
8/22/2021,1.002952857,FRAX
8/23/2021,0.999523133,FRAX
8/24/2021,0.996050358,FRAX
8/25/2021,1.000208314,FRAX
8/26/2021,0.998279793,FRAX
8/27/2021,1.000458457,FRAX
8/28/2021,1.000111178,FRAX
8/29/2021,0.999904623,FRAX
8/30/2021,0.993213594,FRAX
8/31/2021,0.998467492,FRAX
9/1/2021,1.003877955,FRAX
9/2/2021,0.99827492,FRAX
9/3/2021,1.02685912,FRAX
9/4/2021,1.01662977,FRAX
9/5/2021,1.020387502,FRAX
9/6/2021,1.014779407,FRAX
9/7/2021,0.997918949,FRAX
9/8/2021,0.999353649,FRAX
9/9/2021,0.999123503,FRAX
9/10/2021,0.997900971,FRAX
9/11/2021,0.997045728,FRAX
9/12/2021,1.000095962,FRAX
9/13/2021,0.998081443,FRAX
9/14/2021,1.003831533,FRAX
9/15/2021,1.000459638,FRAX
9/16/2021,0.999501702,FRAX
9/17/2021,0.997872535,FRAX
9/18/2021,1.00003017,FRAX
9/19/2021,0.99448429,FRAX
9/20/2021,0.996432208,FRAX
9/21/2021,0.996654965,FRAX
9/22/2021,1.002428732,FRAX
9/23/2021,0.998596081,FRAX
9/24/2021,0.997256288,FRAX
9/25/2021,0.997614112,FRAX
9/26/2021,0.999559393,FRAX
9/27/2021,0.99696616,FRAX
9/28/2021,0.996019758,FRAX
9/29/2021,0.996397557,FRAX
9/30/2021,1.001624052,FRAX
10/1/2021,1.000156427,FRAX
10/2/2021,0.997675275,FRAX
10/3/2021,1.000505149,FRAX
10/4/2021,1.0016542,FRAX
10/5/2021,1.001810071,FRAX
10/6/2021,0.993546625,FRAX
10/7/2021,1.000647186,FRAX
10/8/2021,0.999007199,FRAX
10/9/2021,0.997646868,FRAX
10/10/2021,0.999398236,FRAX
10/11/2021,0.998528513,FRAX
10/12/2021,1.001810919,FRAX
10/13/2021,1.000279209,FRAX
10/14/2021,0.998465263,FRAX
10/15/2021,1.0084615,FRAX
10/16/2021,1.003108404,FRAX
10/17/2021,0.9992235,FRAX
10/18/2021,1.003118878,FRAX
10/19/2021,0.999775006,FRAX
10/20/2021,1.00370995,FRAX
10/21/2021,1.002065796,FRAX
10/22/2021,0.997202698,FRAX
10/23/2021,0.996550159,FRAX
10/24/2021,0.997236236,FRAX
10/25/2021,1.008988719,FRAX
10/26/2021,0.995486716,FRAX
10/27/2021,0.996076753,FRAX
10/28/2021,1.001545164,FRAX
10/29/2021,0.999902546,FRAX
10/30/2021,1.00160325,FRAX
10/31/2021,1.00081301,FRAX
11/1/2021,1.00208404,FRAX
11/2/2021,1.00411756,FRAX
11/3/2021,1.015845407,FRAX
11/4/2021,1.001964773,FRAX
11/5/2021,1.001931136,FRAX
11/6/2021,1.00208144,FRAX
11/7/2021,1.002885759,FRAX
11/8/2021,1.003723025,FRAX
11/9/2021,1.002737327,FRAX
11/10/2021,1.003244314,FRAX
11/11/2021,1.002988164,FRAX
11/12/2021,1.003012593,FRAX
11/13/2021,1.024690286,FRAX
11/14/2021,1.003451073,FRAX
11/15/2021,1.002186199,FRAX
11/16/2021,1.001487792,FRAX
11/17/2021,1.00385547,FRAX
11/18/2021,1.002508137,FRAX
11/19/2021,1.00106055,FRAX
11/20/2021,1.001707077,FRAX
11/21/2021,1.000437377,FRAX
11/22/2021,0.999011264,FRAX
11/23/2021,1.000746356,FRAX
11/24/2021,0.999999175,FRAX
11/25/2021,1.003506163,FRAX
11/26/2021,0.998121112,FRAX
11/27/2021,0.999556072,FRAX
11/28/2021,1.001846437,FRAX
11/29/2021,1.000507246,FRAX
11/30/2021,1.000694974,FRAX
12/1/2021,0.99937834,FRAX
12/2/2021,0.996984529,FRAX
12/3/2021,1.000377376,FRAX
12/4/2021,1.000382087,FRAX
12/5/2021,1.00195155,FRAX
12/6/2021,1.00230942,FRAX
12/7/2021,1.00092724,FRAX
12/8/2021,1.000812215,FRAX
12/9/2021,0.999795418,FRAX
12/10/2021,0.999205241,FRAX
12/11/2021,1.000754598,FRAX
12/12/2021,1.00155188,FRAX
12/13/2021,0.999232095,FRAX
12/14/2021,0.999921428,FRAX
12/15/2021,1.000213715,FRAX
12/16/2021,0.998337935,FRAX
12/17/2021,0.998506536,FRAX
12/18/2021,0.999726109,FRAX
12/19/2021,0.999986548,FRAX
12/20/2021,1.000664425,FRAX
12/21/2021,0.997913022,FRAX
12/22/2021,0.995608079,FRAX
12/23/2021,1.000028715,FRAX
12/24/2021,1.00336521,FRAX
12/25/2021,0.999944229,FRAX
12/26/2021,1.002107775,FRAX
12/27/2021,0.997682563,FRAX
12/28/2021,0.997503003,FRAX
12/29/2021,0.998466892,FRAX
12/30/2021,1.004052482,FRAX
