rank,bgg_url,game_id,names,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,image_url,age,mechanic,owned,category,designer,weight
"		4378							",https://boardgamegeek.com/boardgame/35706/carpe-astra,35706,Carpe Astra,2,4,60,60,60,2008,6.01154,5.65881,418,//cf.geekdo-images.com/images/pic381208.jpg,12,"Modular Board, Route/Network Building, Tile Placement",784,Science Fiction,"Ted Cheatham, Jackson Pope",2.587
"		4379							",https://boardgamegeek.com/boardgame/56835/train-thought,56835,Train of Thought,2,7,20,20,20,2011,6.08815,5.6588,374,//cf.geekdo-images.com/images/pic946896.jpg,10,none,708,"Party Game, Word Game","Jay Cormier, Sen-Foong Lim",1.2963
"		4380							",https://boardgamegeek.com/boardgame/70532/tonkin-indochina-war-1950-54-second-edition,70532,Tonkin: The Indochina war 1950-54 (second edition),2,2,0,0,0,2012,7.70455,5.66221,88,//cf.geekdo-images.com/images/pic1111683.jpg,0,"Action Point Allowance System, Hex-and-Counter",343,"Vietnam War, Wargame",Kim Kanger,3.2857
"		4381							",https://boardgamegeek.com/boardgame/7976/fantasy-pub,7976,Fantasy Pub,2,5,60,60,60,2003,6.13511,5.65862,356,//cf.geekdo-images.com/images/pic202313.jpg,12,"Area Movement, Dice Rolling, Roll / Spin and Move",532,Fantasy,Emanuele Ornella,1.6154
"		4382							",https://boardgamegeek.com/boardgame/6926/viking-raiders,6926,Viking Raiders,2,2,240,240,240,1987,7.02844,5.65861,109,//cf.geekdo-images.com/images/pic736660.jpg,12,"Hex-and-Counter, Simulation",309,"Medieval, Wargame","Jean-Michel Clément, Yves Fagherazzi, David Levell, Duccio Vitale",2.5333
"		4383							",https://boardgamegeek.com/boardgame/37875/iwo-jima-rage-against-marines,37875,Iwo Jima: Rage Against the Marines,2,2,120,120,120,2008,7.00437,5.65854,103,//cf.geekdo-images.com/images/pic1072418.jpg,0,"Area Movement, Area-Impulse, Secret Unit Deployment",484,"Wargame, World War II",Takaharu Horie,2.15
"		4384							",https://boardgamegeek.com/boardgame/172866/dragon-punch,172866,Dragon Punch,2,2,10,5,10,2014,6.47775,5.66085,191,//cf.geekdo-images.com/images/pic2838208.jpg,12,"Hand Management, Rock-Paper-Scissors, Simultaneous Action Selection",745,"Fighting, Video Game Theme",Koen Hendrix,1.4615
"		4385							",https://boardgamegeek.com/boardgame/18887/advanced-tobruk-system-basic-game-ii-streets-stali,18887,Advanced Tobruk System Basic Game II: Streets of Stalingrad,2,2,0,0,0,2005,7.20914,5.65847,93,//cf.geekdo-images.com/images/pic919807.jpg,12,Hex-and-Counter,249,"Wargame, World War II",Ray Tapio,3.2381
"		4386							",https://boardgamegeek.com/boardgame/13729/flandern-1302,13729,Flandern 1302,2,4,60,60,60,2004,5.94905,5.65841,482,//cf.geekdo-images.com/images/pic196233.jpg,8,"Area Control / Area Influence, Simultaneous Action Selection",931,Medieval,Wolfgang Panning,2.3521
"		4387							",https://boardgamegeek.com/boardgame/134626/golden-horn-von-venedig-nach-konstantinopel,134626,Golden Horn: Von Venedig nach Konstantinopel,2,4,45,45,45,2013,6.46222,5.65873,180,//cf.geekdo-images.com/images/pic1494225.jpg,8,"Modular Board, Pick-up and Deliver, Set Collection",320,"Medieval, Transportation",Leo Colovini,1.7273
"		4388							",https://boardgamegeek.com/boardgame/191038/west-africa,191038,West of Africa,2,5,90,60,90,2016,6.51061,5.66094,179,//cf.geekdo-images.com/images/pic2939142.jpg,10,"Area Control / Area Influence, Pick-up and Deliver, Point to Point Movement, Simultaneous Action Selection",297,"Civilization, Economic, Farming",Martin Schlegel,2.6667
"		4389							",https://boardgamegeek.com/boardgame/181120/pocket-invaders,181120,Pocket Invaders,2,4,20,10,20,2016,6.91633,5.65789,128,//cf.geekdo-images.com/images/pic2852257.png,8,"Grid Movement, Roll / Spin and Move",239,"Abstract Strategy, Dice",Jose D. Flores,2
"		4390							",https://boardgamegeek.com/boardgame/162041/ninja-taisen,162041,Ninja Taisen,2,2,20,20,20,2014,6.73872,5.65722,133,//cf.geekdo-images.com/images/pic2090988.jpg,8,"Dice Rolling, Rock-Paper-Scissors, Roll / Spin and Move",235,"Dice, Fighting, Medieval",Katsumasa Tomioka,1.4545
"		4391							",https://boardgamegeek.com/boardgame/2443/motorchamp,2443,MotorChamp,2,8,120,120,120,2000,6.68401,5.65825,152,//cf.geekdo-images.com/images/pic1264224.jpg,8,Roll / Spin and Move,217,"Racing, Sports",Albrecht Nolte,1.9545
"		4392							",https://boardgamegeek.com/boardgame/2301/new-dungeon,2301,The New Dungeon!,1,6,45,45,45,1989,6.09239,5.65824,431,//cf.geekdo-images.com/images/pic183293.jpg,8,"Role Playing, Roll / Spin and Move, Variable Player Powers",764,"Adventure, Dice, Exploration, Fantasy, Fighting, Medieval","Jeff Grubb, David R. Megarry, Steve Winter",1.6875
