fips,median_income,median_income_white,median_income_black,median_income_nativeamerican,median_income_asian,median_income_hispanic
17163,49895,61682,27289,,72440,41273
17165,38258,3921748182,24375,,,
17167,56167,61044,26468,53281,67159,41054
17169,47723,47482,24375,,,
17171,47222,47118,,,,
17173,47850,4807139750,,,,
17175,50085,50321,60625,,,
17177,45331,47191,2479541667,,,
17179,58194,5868898304,62118,,,
17181,42606,44158,23500,,,
17183,42977,46159,23053,21648,51472,35583
17185,47491,4693375500,2499,,,
17187,43699,44519,39821,,36875,35781
17189,53202,53370,2499,,87813,35500
17191,44993,45230,2499,,,
17193,44648,44295,35603,,,
17195,47401,47739,34554,,123375,43133
17197,76101,79701,55017,41618,107870,59611
17199,44453,44983,31181,,72232,48021
17201,48225,51923,25371,34617,63722,37495
17203,65852,65909,65179,,,
18001,48188,49107,51473,,,
18003,49092,52934,27017,40725,42569,37399
18005,55050,53707,51758,,88061,40043
18007,47046,47074,4625033958,,,
18009,38190,38326,,,,
18011,67552,6776981250,53836,,,
18013,54615,54961,76731,,,
18015,52005,51852,33643,,,
18017,42290,4327754107,32148,,,
18019,51699,53170,39841,,48783,50982
18021,47602,47960,,7109,,
18023,48478,48946,42692,68906,49904,35441
18025,38695,38618,,47614,,36635
18027,47342,47598,40515,,,
18029,58680,58943,3132461850,,,
18031,49799,49314,37059,,57352,
18033,48341,4809761354,34777,,,
18035,38830,40362,25152,15870,15987,28313
18037,53513,54508,27166,,,
18039,47913,49448,22094,49922,66944,40256
18041,39379,40301,29402,,40481,22138
18043,54914,57181,22254,28382,63125,48409
18045,46760,47100,43462,,,
18047,51748,51579,58977,,,
18049,45332,45206,7097244792,,,
18051,48303,48964,33889,,,
18053,40294,41915,24351,23203,35677,38021
18055,45397,45665,40385,,,
18057,86222,86143,68029,67063,104491,66445
18059,66606,6677988700,72202,,,
18061,52128,52081,11427868833,,,
18063,70163,70927,64035,30408,61121,54239
18065,41855,42009,,58036,,35208
18067,44226,46114,21813,,46964,41332
18069,46945,46941,,78125,60650,32083
18071,47000,47824,,20000,90033,28243
18073,55374,55925,4201453478,,,
18075,41021,40993,,30750,120521,
18077,45718,45900,40441,,50938,45060
18079,44736,45379,19750,,26250,
18081,62147,62622,69279,47039,66106,26880
18083,42725,43270,3647733646,,,
18085,52821,53105,48650,,82177,46228
18087,49964,49958,,40469,,40170
18089,50135,58970,31299,53828,74844,47355
18091,46872,50346,25071,35505,32152,39933
18093,45875,46347,27054,,,
18095,44195,45970,30488,,22361,27417
18097,42168,49931,30508,35283,47899,29004
18099,48485,48479,,89271,,39316
18101,44589,45671,,,,
18103,45184,45321,64964,38750,,38333
18105,42404,45342,21604,43701,15759,35156
18107,48213,48202,50645,,105859,32120
18109,55432,55947,40000,,,
18111,46895,46868,54357,,,
18113,49331,49246,,95288,,42721
18115,48780,48601,,,,
18117,39812,39888,,,,
18119,43948,44024,,,,
18121,40781,41169,21607,,,
18123,47470,48240,21225,,,
18125,44399,44620,,,,
18127,63926,64594,42720,,80938,62785
18129,58101,59167,54306,,,
18131,43836,44138,1583332232,,,
18133,51355,51613,45089,,73194,
18135,40810,41008,4500031857,,,
18137,51170,51376,51500,,,
18139,45121,45833,30153,,,
18141,45471,49959,23364,26769,53302,37091
18143,44442,44526,,,,
18145,53584,54330,23872,,100139,42326
18147,55247,55317,55625,,,
18149,42208,4311055833,35827,,,
18151,48472,48554,,70625,55278,46130
18153,45023,45018,,,,
18155,44061,43626,64250,,,
18157,45932,49335,19199,71071,21343,40556
18159,51613,51935,,,,
18161,44277,44818,,,,
18163,43046,46584,21430,23854,44797,39545
18165,43600,43728,29280,,,
18167,40313,41000,24240,45956,51364,36576
18169,45649,45263,,59231,,50870
18171,56042,56222,95938,,,
18173,62185,62256,49500,23830,,43295
18175,41289,41920,,,,
18177,38494,39232,2818827270,,,
18179,51101,51730,3816730523,,,
18181,52154,52199,40194,,,
18183,54389,54561,,67917,35833,
20001,38698,39505,38482,20833,,39500
20003,40696,40370,,81200,,
20005,43581,44353,22375,,,
20007,51811,51658,65938,,,
20009,44013,45325,22326,18958,,22247
20011,38280,3923162344,40250,,,
20013,43724,45619,32366,30268,48125,30119
20015,58897,58928,,19487,77460,58136
20017,38707,39655,58333,,,
20019,37993,39079,73125,,,
20021,41388,41126,,51393,,71528
20023,44500,43875,25893,,,
20025,42589,42589,38393,,,
20027,52066,52293,,75278,,
20029,39282,39421,,,,
20031,57433,56964,,70682,,
20033,45288,46010,,,,
20035,43860,43915,45347,41875,61200,38750
20037,36534,37157,31500,,2499,29961
20039,40657,40833,,,,
20041,49096,49245,,110543,,45903
20043,47209,49209,18182,36083,,33750
20045,50939,52173,38934,60144,29554,39315
20047,47303,48139,36154,,,
20049,36458,36111,63611,,,
20051,45579,472802499,25263,,,
20053,47736,48615,50208,,,
20055,49227,52302,29522,26458,48732,44520
20057,50777,51687,21447,55682,27895,44796
20059,51081,52234,30302,,,
20061,43992,43804,46568,44583,41641,32679
20063,46364,46288,,,,
20065,43826,46964,3125046250,,,
20067,55432,57924,53988,,,
20069,61000,60318,42656,,,
20071,47750,46776,35000,,,
20073,38838,38914,,,,
20075,45114,48344,32208,,,
20077,43973,43438,,60417,,
20079,51327,51911,39245,,,
20081,56484,60306,,46250,,37067
20083,54856,54471,54167,,,
20085,54077,56259,37188,27750,51339,41250
20087,57236,57274,,70192,,38750
20089,40553,40865,,42500,,29250
20091,76113,77708,48930,72500,90328,46167
20093,50506,59479,46429,,,
20095,50844,50812,,41071,,29135
20097,43963,43628,,48750,,43889
20099,41439,42522,17328,36964,,25500
20101,56507,56728,,,,
20103,63726,65978,49443,62292,92727,62431
20105,44276,43684,18438,,,
20107,46964,46867,56316,75441,,24282
20109,46875,49091,76250,,,
20111,40021,41085,,31442,24750,38903
20113,56128,56393,,52039,41228,57692
20115,45927,46554,45714,29559,,
20117,45374,45465,43542,,,
20119,52250,53025,39792,,,
20121,60966,61602,43971,,2499,55885
20123,48217,48975,14000,,,
20125,41083,42705,15932,37470,,34886
20127,47089,47743,46250,,,
20129,46028,47306,42097,,,
20131,48653,49292,28523,21875,,53281
20133,43195,43450,24583,,,
20135,44904,44778,32788,,,
20137,47852,47542,,,,
20139,49915,50514,40060,,,
20141,40216,39844,,,,
20143,52479,53021,67596,,,
20145,43250,43844,,,,
20147,44170,44236,,43750,,43295
20149,60216,60330,88780,71912,51591,41500
20151,49550,51250,46894,,,
20153,41579,41480,,,,
20155,45288,45391,51612,50750,65750,39123
20157,40449,40740,55250,,,
20159,48460,49547,23947,46667,2499,52935
20161,44437,45612,47893,22517,30675,33583
20163,43558,43269,28958,,,
20165,38854,39063,,,,
20167,41102,41858,38750,,,
20169,47801,48491,33438,20425,75547,31574
20171,51850,51868,,,,
20173,50657,53837,29097,42793,53291,36978
20175,47134,47277,36429,72386,57434,44024
20177,50378,52449,27617,46600,61607,40216
20179,49750,50406,35673,,,
20181,39029,39757,25873,,,
20183,43848,43992,72875,,,
20185,47377,47905,36500,,,
20187,43780,52500,32083,,,
20189,55433,60795,,42917,,41719
20191,50141,504232499,54241,,,
20193,48504,49375,35096,,,
20195,54000,54000,41250,,,
20197,54688,54555,48500,,,
20199,47279,47426,53750,,,
20201,45159,45099,31875,,,
20203,57171,56711,38000,,,
20205,40306,40699,,31667,114250,28750
20207,35787,36019,,,,
20209,40113,44543,30800,32054,32917,35763
21001,33362,34163,,,,
21003,41326,40762,,,,
21005,53974,54574,43250,,,
21007,42244,44026,28250,9583,,58375
21009,38370,38803,23452,,163583,29718
21011,33483,33913,21125,,,
21013,22443,22493,17574,,50227,
21015,66730,66614,57158,,75257,43333
21017,45208,46782,2643842330,,,
21019,42319,42632,15484,,165114,
21021,39704,40278,2710924010,,,
21023,36327,36469,,,,
21025,25817,25635123750,,,,
21027,43479,44482,1625042031,,,
21029,55975,5659054286,63177,,,
21031,33536,33086,,,,
21033,42537,42894,36324,,,
21035,37034,38851,28405,2499,2499,19406
21037,54621,55738,19531,,92829,24258
21039,38829,38934,2535782829,,,
21041,41439,42291,1489123077,,,
21043,36696,36814,19178,,,
21045,32341,32644,26607,,,
21047,39521,42874,26444,22969,55417,28214
21049,47959,48616,27044,,98438,27404
21051,21549,21444,23625,57500,,
21053,28025,28225,16786,,,
21055,35316,35693,14091,,,
21057,32019,32294,21786,,,
21059,45989,47450,24767,26250,37083,27500
21061,41710,41794,,,,
21063,28224,28257,,,,
21065,29770,29778,,,,
21067,49778,55636,28366,35234,65154,34907
21069,35469,35681,,,,
21071,30096,30073,,53929,250001,
21073,47964,50529,38305,,64569,27440
21075,28359,33682,1573127250,,,
21077,48370,49114,40139,,,
21079,44243,44417,3096637206,,,
21081,44824,44193,85060,,,
21083,39530,41790,1633338474,,,
21085,35030,35438,,,,
21087,34982,36113,,,,
21089,45370,45577131136,71176,,,
21091,50476,50420,58594,,,
21093,50765,50156,55642,,64167,51656
21095,25814,25892,23417,15833,250001,
21097,35681,36803,30259,,,
21099,34774,35542,2000041806,,,
21101,41036,42762,24167,,59318,36625
21103,46495,46990,29773,,,
21105,41218,42468,23250,,,
21107,42346,43829,2875051458,,,
21109,29826,29925,,,,
21111,48695,54330,29245,50214,64884,39010
21113,50558,51302,32083,43750,,30809
21115,35570,35482111250,2499,,,
21117,54296,56285,24928,18688,53750,45236
21119,30411,30757,23333,,,
21121,26599,26499,3875033526,,,
21123,38578,39216,33631,,,
21125,36020,35971,,26071,60405,42661
21127,35935,36222,63224,,,
21129,22698,22759,,,,
21131,25872,26399,,,,
21133,30333,30367,,,,
21135,28630,28691,,,,
21137,37139,37109,36797125194,,,
21139,42171,41909,,,,
21141,38570,40257,18370,,,
21143,46931,46921,,,,
21145,44067,46536,25146,,95455,37162
21147,19328,19340,,,,
21149,40770,41250,5325031250,,,
21151,42390,43664,20463,,47132,28967
21153,28500,28467,,,,
21155,38826,40385,22004,,56765,36354
21157,45212,45610,41932,,,
21159,25795,25940,,,,
21161,38824,40041,20365,,,
21163,49884,50524,3960957383,,,
21165,31503,32037,,,,
21167,42083,42638,4142969500,,,
21169,32294,33458,1729230893,,,
21171,31045,30870,3953931442,,,
21173,39275,39172,29079,,,
21175,29707,29946,,,,
21177,38961,39846,22715,,,
21179,49298,50470,28939,25833,55962,11462
21181,36097,36763,23750,,,
21183,40189,39814,44250,,,
21185,85452,85894,81250,65690,167344,49375
21187,41934,42342,3657435417,,,
21189,20985,20618,,,,
21191,48353,49368,93693,,,
21193,32667,31911,93000,,,
21195,33183,32965,4182130147,,,
21197,29736,30476,16688,,,
21199,34790,34838,27907,77782,43906,18510
21201,31741,31830,,,,
21203,31555,31778,,,,
21205,36860,35812,41224,,,
21207,30720,30930,41500,,,
21209,63027,65456,40868,,74625,34120
21211,60324,61765,4027028833,,,
21213,39679,45173,255278657,,,
21215,63000,63492,9114060577,,,
21217,33340,33879,25887,,,
21219,40497,42892,29779,,,
21221,44083,45793,2391757692,,,
21223,47409,47091,51810,,,
21225,40120,41385,1875041250,,,
21227,44911,48292,31564,58558,38750,35335
21229,40976,42935,3442912222,,,
21231,28573,29326,13966,,,
21233,38917,39085,3680631528,,,
21235,31014,31014,16346,102778,,
21237,20504,20818,,,,
21239,58750,60568,3700033803,,,
22001,37649,43239,2074230893,,,
22003,40948,43537,25798,43095,,46250
22005,70551,75232,49888,,70755,56400
22007,49167,60572,2490433185,,,
22009,33739,39339,22760,,,
22011,45969,49349,26719,64375,80493,
22013,32876,45332,21335,,,
22015,52892,59888,31217,70060,53825,53147
22017,41234,57236,28614,26875,49009,39948
22019,45312,52272,28838,60859,57054,44375
22021,33294,37833,1545321190,,,
22023,64231,64885,,,,
22025,34904,44702,17963,,,
22027,32072,48579,17567,54167,,
22029,29654,43488,16636,,,
22031,41468,51319,22397,61167,,
22033,49285,66598,34646,40682,58869,50208
22035,21099,42083,16364,,,
22037,45520,54260,33384,,,
22039,30009,41474,1452420650,,,
22041,30275,36693,17648,,,
22043,39914,41059,21862,54125,,
22045,45261,54047,30554,70588,66711,46821
22047,45117,59344,33257,,,
22049,38029,43852,21594,,,
22051,47947,54354,34002,39531,60511,40995
22053,39063,44171,20053,20848,,16750
22055,51869,61544,29224,132588,60802,44336
22057,51030,54243,28335,,70234,40318
22059,37310,38953,18000,56601,,
22061,33467,50425,20715,,36250,15995
22063,58251,58708,41776,124076,,62868
22065,23854,40903,16799,,,
22067,28003,37849,20261,15938,80595,10733
22069,31345,45440,20172,21250,89167,35893
22071,36792,62490,25347,37875,46592,40232
22073,37754,50757,22478,21303,61007,47136
22075,50314,56288,3412533197,,,
22077,43825,57022,2488220724,,,
22079,40734,48821,26263,45208,31526,42311
22081,38000,45547,24770,,,
22083,36421,47766,2161741125,,,
22085,38828,44966,22283,31919,,30329
22087,42753,46517,31497,44205,33313,36853
22089,59990,70933,35125,,71375,59564
22091,35437,50649,26136,,,
22093,51107,67689,33868,,,
22095,50921,58359,4575442308,,,
22097,32625,44394,1933647591,,,
22099,42794,51701,30231,78750,23438,50147
22101,40781,48906,25172,53080,49211,41365
22103,62137,65539,39373,27065,80583,48173
22105,41302,51528,25771,31356,,35920
22107,22940,36550,15375,,,
22109,47826,55365,28439,38821,46492,55000
22111,34992,45232,1736219237,,,
22113,45374,49875,22921,52552,39214,41042
22115,46312,47358,39437,43750,60809,44740
22117,30705,35372,20771,,,
22119,33681,43822,19949,38125,68603,26103
22121,53703,66266,31859,,65833,37422
22123,31926,37430,1988830938,,,
22125,56685,85140,22232,,,
22127,31087,40856,16917,,,
25001,63251,64278,46864,35125,47115,60436
25003,49956,50671,29258,21000,65063,45777
25005,56842,59762,42267,28030,77000,28369
25007,64222,67545,40625,,65417,
25009,69068,74466,46226,40160,85049,37182
25011,55221,55818,36250,,44219,32333
25013,50461,56124,37149,17045,50595,22847
25015,61368,62172,29178,,54318,47026
25017,85118,87980,47720,59211,97198,49832
25019,84057,88223,5474588480,,,
25021,88262,90667,63775,57500,89513,74641
25023,75459,80187,43643,91528,82303,54528
25025,55044,68686,38856,23804,40287,36030
25027,65313,67708,43082,37309,81478,32751
24001,40551,41115,19054,2499,,28571
24003,89860,94882,74802,39755,100983,67667
24005,67095,71270,58471,53173,77066,54937
24009,95828,101893,63879,,103421,91333
24011,52465,55892,30530,30476,46667,36500
24013,85385,85355,77527,,110750,68867
24015,66396,68674,46724,,53409,49919
24017,90607,94431,84260,67750,116250,95779
24019,47093,58862,28212,,75625,46490
24021,83700,87069,64241,72361,74717,66260
24023,45432,45404,,111250,65458,70972
24025,80465,82674,61374,,82201,72233
24027,110238,120146,86509,76435,114874,76619
24029,58147,61438,25233,,53550,57889
24031,99435,114879,68759,63463,103872,67759
24033,74260,77972,75021,59566,78504,60333
24035,85963,89912,4285282625,,,
24037,86987,92783,47808,99167,98570,66250
24039,35154,40613,29381,,37250,26594
24041,58228,65670,31063,,53953,36165
24043,56228,57810,37613,35625,70278,46176
24045,52278,56508,39019,50729,57131,39439
24047,56773,60281,31871,79135,58500,53902
24510,42241,63126,33702,22757,51064,44509
23001,47537,48401,20481,,73295,33000
23003,36923,37289,24500,18009,86667,30167
23005,60051,61525,20200,32167,50693,41569
23007,42811,42892,,40673,,142344
23009,47030,47369,31734,40464,63194,45833
23011,46917,47161,,41487,42181,36250
23013,50693,50912,,68611,34732,35486
23015,50462,5039485313,57414,,,
23017,40630,4063031548,,,,
23019,44271,44456,30938,23646,74091,51875
23021,37495,37763,,90417,,35875
23023,53298,53997,25781,,,
23025,40066,39949,,23750,,37670
23027,44082,44448,,19583,45000,26750
23029,38083,38816,72875,26413,,50862
23031,57919,58141,54063,27150,47110,50390
26001,38033,38313,,59219,,
26003,39300,38853,,36042,,
26005,54264,54439,42047,49750,64063,41733
26007,38829,38966,29375,26944,,
26009,46845,47290,,62750,36042,40294
26011,38307,38308,45000,,,
26013,39803,40481,,30125,34167,
26015,55064,55248,,27500,165982,40746
26017,45583,46205,28316,48409,99444,33507
26019,47388,47885,,31000,,25350
26021,44993,50681,20854,52344,65313,36541
26023,44373,4435955208,24904,,,
26025,42520,45354,25172,47266,46690,35309
26027,46570,48467,31850,48221,,31605
26029,46554,46730,,40938,67917,45000
26031,40219,40860,65000,34583,,25909
26033,41993,43546,,39107,30982,49375
26035,33015,3313889107,25750,,,
26037,60909,61597,33585,,50521,43295
26039,41743,4202210750,,,,
26041,42031,42837,,27411,21078,19375
26043,43779,44013,75833,,,
26045,54993,56680,37141,59250,62375,50667
26047,51018,51499,,39395,79375,30721
26049,42327,47601,25521,38615,89286,42454
26051,38021,38022,,18917,,43523
26053,35686,35766,,31250,,
26055,52950,53391,,49423,37500,51250
26057,41912,42343,,15500,,30365
26059,41961,42168,,35625,42917,44000
26061,37776,39009,,30625,18139,36131
26063,42161,42172,,14028,96389,31818
26065,45679,49595,31482,41042,42423,35847
26067,49124,49259,83275,73472,,39000
26069,37317,37486,42969,,,
26071,33663,33797,,30417,46875,32813
26073,39377,39794,24653,56520,21724,33875
26075,46326,48717,20446,40500,86786,44665
26077,47476,51598,25584,,42484,38564
26079,40534,40853,,25833,,
26081,53063,56981,26620,33553,59680,36094
26083,37813,38320,,,,
26085,30439,32391,13616,,,
26087,52996,53023,894738975,,,
26089,56189,57190,,28583,,44412
26091,48043,48743,32452,,38750,31194
26093,75204,75159,59350,72885,100139,79917
26095,37088,38668,,35089,,27857
26097,38434,40656,,31429,33214,44286
26099,54582,56997,34265,38107,66980,48125
26101,41395,41518,,38548,41477,42917
26103,45409,45724,,22188,54509,15750
26105,42024,42543,31625,30833,,31650
26107,41889,42455,,53917,,23162
26109,40373,40683,,28854,88571,
26111,54059,53806,35774,40640,104031,44655
26113,41098,41140,47083,35833,76827,48542
26115,55653,56047,38200,34792,75833,41131
26117,41584,41740,29750,11786,115756,30250
26119,36250,36132,38750,,,
26121,42829,46702,21751,44643,,33954
26123,43693,44129,31705,50329,31250,34009
26125,67465,70729,46821,42222,101426,49646
26127,41617,41925,,40938,,32094
26129,36063,35885,36250,57639,160729,38077
26131,34459,34587,,25000,,51875
26133,38999,39103,21406,33125,,30833
26135,33021,33417,,14375,,37143
26137,48917,49180,51133,,,
26139,58989,60547,27889,33942,54567,45592
26141,41213,4135190833,36563,,,
26143,35133,35201,,38042,,26771
26145,43042,48007,24158,46719,63417,36160
26147,49730,50565,22699,50625,54013,46766
26149,44449,45116,24271,38929,,31086
26151,41100,41219,76250,20227,,40125
26153,34118,34833,,31125,29306,
26155,48233,48337,,27750,,36667
26157,43768,43816,24688,50000,90556,38750
26159,46008,48232,19101,29375,,36218
26161,61003,66530,35301,58083,61688,43274
26163,41210,54162,26888,32859,74541,37103
26165,41534,41456,16050,46250,100625,
27001,42252,42640,,32500,67188,55446
27003,70873,73086,43586,51309,71750,45635
27005,52038,53711,,30650,42500,42679
27007,44757,48882,,30591,82546,17813
27009,52178,53595,,21645,,53000
27011,47794,48235,40625,,,
27013,50061,51956,25134,,39279,42656
27015,52598,53084,,42813,,32404
27017,53227,54957,,34417,21402,46833
27019,86323,86668,50938,62868,117361,70083
27021,46531,48993,48688,28500,21667,45292
27023,50858,51214,,78800,,26016
27025,71001,71096,57083,78438,76806,51858
27027,57965,60174,833339500,,,
27029,43421,44715,,26250,83750,
27031,52299,55572,,32679,,
27033,46750,4909330833,,,,
27035,49435,49534,57857,53929,,
27037,75567,78766,47428,38646,77558,42576
27039,68116,68404,,88750,,54211
27041,54531,54764,,45625,,
27043,47540,47579,36518,,,
27045,51665,51930,21500,63125,35972,26250
27047,47105,47795,18646,,46750,31250
27049,57062,57590,2113640497,,,
27051,50174,49856,70625,,,
27053,65834,72970,28231,29306,73912,42572
27055,53809,54051,,46797,,41563
27057,47486,48053,,29773,87083,45804
27059,59865,60490,,2499,132917,68889
27061,47761,48083,,36667,,31438
27063,50574,5133335156,35938,,,
27065,47384,47796,,34583,,34219
27067,52632,54425,15345,53403,32381,37352
27069,52326,52409,55417,,,
27071,42919,43818,,26433,,
27073,49903,50202,23333,,,
27075,48417,49098,,68750,,
27077,42263,42038,,,,
27079,60632,60939,,25833,56875,43859
27081,49575,49750,,50139,,28281
27083,51600,52252,42984,2499,50958,36735
27085,56128,56525,47143,,,
27087,41118,49009,,28750,,27500
27089,54092,54182,,43750,,47875
27091,51391,5113691071,,,,
27093,55042,55314,2615428750,,,
27095,49094,49830,21750,35192,61250,
27097,50049,50062,12096,,60481,62946
27099,49427,50400,34784,8466,61250,37673
27101,51983,52296,24464,,,
27103,58640,59802,12708,,65972,54219
27105,50625,52012,40152,21250,,49118
27107,50377,5070960417,32125,,,
27109,68023,69078,31314,66910,82372,48525
27111,52365,53219,15750,45820,,52841
27113,47127,47149,,52917,115655,
27115,44549,45123,,26932,49286,31719
27117,46990,47188,,27386,,45076
27119,53326,54126,,29464,89286,34833
27121,52785,52799,,31667,,
27123,56104,62782,27800,36458,47054,37542
27125,50332,50918,,22917,,31250
27127,47211,47872,,41667,25000,23750
27129,52149,53252,2499,51667,,40313
27131,59598,61199,23599,,55729,34931
27133,51496,51725,,38750,,
27135,53199,53498,,55144,42000,15357
27137,48331,49984,15306,24400,29063,49688
27139,87794,88977,85438,59079,84250,54960
27141,74170,74745,27833,,63986,62971
27143,56990,57450,42031,,,
27145,56336,57938,26019,41071,42215,31556
27147,57858,59627,30000,,50795,47097
27149,52302,52488,,23636,,
27151,49035,50305,45556,,,
27153,46414,46225,40547,,,
27155,49186,50029,,,,
27157,56510,5691453750,37228,,,
27159,41906,42500,10109436500,,,
27161,53564,55830,21652,,22885,
27163,83706,84106,71989,72031,102145,50737
27165,50604,50693,47500,,,
27167,51476,51867,,58092,,54000
27169,50547,50999,11108,36150,101625,58241
27171,73557,73754,47813,30179,73625,57705
27173,53041,53519,,42917,,41000
29001,37516,39643,16696,8496,2499,13228
29003,55613,55932,41055,64178,,40391
29005,43933,4457320962,93750,,,
29007,41310,42541,2393832353,,,
29009,39033,39075,,48750,35938,37436
29011,37467,37980,,38125,,30326
29013,41060,41683,3591343261,,,
29015,33042,33328,,27857,,28802
29017,39707,4032325750,,,,
29019,49899,52249,28734,31098,34406,41598
29021,46315,47342,31925,,55583,37043
29023,35738,36734,25762,49286,,31042
29025,43691,42852,63482,,,
29027,47744,48881,23140,64464,61603,
29029,44816,45256,16121,,,
29031,46050,48762,18837,45583,,28361
29033,42415,43854,,,,
29035,33034,33765,,2499,,40536
29037,61584,61169,64260,61750,91161,52148
29039,31532,31765,,,,
29041,40642,41181,23833,35000,,33750
29043,53270,53252,36563,77308,,40920
29045,43883,44467,,37321,,
29047,62099,63678,41523,65202,67212,54515
29049,54773,55192,34450,36157,72386,45806
29051,53088,56494,28977,31417,60521,37941
29053,44549,46331,16568,,104107,51250
29055,36743,36935,25536,,,
29057,37035,37407,24792,,,
29059,38062,38663,54015,,,
29061,41642,41627,39375,,,
29063,41406,41309,13946,,,
29065,36831,37297,24500,,,
29067,30508,30627,,,,
29069,31077,32203,2226934145,,,
29071,48480,48655,,87837,78819,
29073,42826,43062,,,,
29075,41912,42132,,,,
29077,41227,42115,29896,45140,28311,33079
29079,37656,37941,,81563,,
29081,39301,39569,40556,,,
29083,42181,42236,68833,70020,,
29085,32122,32780,,20208,,
29087,42500,43222,48750,,,
29089,44820,46544,41250,21429,,
29091,32784,32650,,15455,,
29093,36239,36659,22917,20938,,105625
29095,46869,54974,31492,30028,49490,34168
29097,41811,42224,25515,35250,,35396
29099,55348,55751,38389,38500,83750,52917
29101,49792,50856,40158,31541,47989,41678
29103,38289,38365,39792,,,
29105,39712,40029,,61118,2499,44762
29107,50723,51152,3897133125,,,
29109,40597,40735,,45938,74519,35231
29111,43909,43913,3950051793,,,
29113,53718,54425,42428,,16453,
29115,37997,38542,3250020227,,,
29117,43350,43799,,87969,,25430
29119,38368,39301,16350,26875,29839,32448
29121,36976,37386,17466,,88500,16081
29123,35097,34890,,,,
29125,39700,40221,,74844,,
29127,40814,41656,31304,,71500,
29129,40768,41031,,,,
29131,38094,39131,,23113,,16721
29133,28347,34033,20508,,,
29135,47725,47576,66250,,,
29137,43138,43250,,44375,53750,
29139,39830,40322,2671916667,,,
29141,33525,34045,62634,,,
29143,33630,37295,2161243333,,,
29145,43290,43572,42438,32173,46627,22381
29147,35854,3632921667,,,,
29149,29851,30494,,12500,,
29151,52693,52886,,,,
29153,31399,31765,8944,,,
29155,29238,35411,1557149023,,,
29157,51499,51614,33594,,,
29159,39928,40686,40724,20938,,29663
29161,41618,42626,11517,58030,41504,30286
29163,41750,42899,32550,41563,,26250
29165,68254,70496,45786,76375,59122,61890
29167,41130,41725,2499,21187,,48636
29169,47931,48184,48920,,78450,45300
29171,36346,36212,,,,
29173,47345,47413,41875,,,
29175,37832,39595,15709,,,
29177,52526,52587,,108200,250001,50625
29179,35648,36265,,15938,,
29181,32444,33000,,,,
29183,72415,72967,55829,63958,86996,66224
29185,32046,32110,,23750,,54318
29186,47014,46981,1676725313,,,
29187,39741,39960,2066216335,,,
29189,59755,68469,38698,42890,82545,48561
29195,40101,40827,2669937056,,,
29197,37500,37500,,,,
29199,39772,39798,,,,
29201,39162,41102,2808328250,,,
29203,32404,34736,,21311,,
29205,39087,39247,,,,
29207,38203,38544,3046146250,,,
29209,40510,40720,,21458,,39907
29211,40197,39549,63750,,75000,43281
29213,38357,38264,46223,52969,,32845
29215,35088,35268,,50313,,
29217,40693,40493,8750,,,
29219,51133,52289,30733,75417,,30699
29221,35305,35410,10536,14219,,
29223,33750,34215,,,,
29225,44451,44887,,44583,85833,42682
29227,45952,46131,,,,
29229,29778,29153,,,,
29510,35599,50042,23155,33144,34193,34264
28001,28869,41840,2092147748,,,
28003,36163,37419,2304541111,,,
28005,30704,35787,21829,,,
28007,32886,43036,21643,,,
28009,33141,39628,24946,,,
28011,27585,52659,2061414746,,,
28013,31098,35525,2268920500,,,
28015,37289,41287,24167,,,
28017,30926,36250,2390257813,,,
28019,30692,40731,1787226250,,,
28021,23259,51051,1750020833,,,
28023,35993,46437,22930,,,
28025,31669,57193,2037723333,,,
28027,28851,53536,21972,,35294,30958
28029,35130,45843,23882,,,
28031,31631,36733,2437535294,,,
28033,58278,61612,46600,,58281,41487
28035,36416,48568,2222421113,,,
28037,38170,45481,28241,,,
28039,44258,47404,27944,,,
28041,40176,43460,31094,,,
28043,31779,40365,21846,,,
28045,43355,45150,29918,,43618,49837
28047,41722,47544,26197,45588,45635,41217
28049,37324,56242,31541,18158,45900,27754
28051,20732,32260,18773,,,
28053,23216,33958,1900362679,,,
28055,23491,32500,18333,,,
28057,35004,35406,3072673977,,,
28059,48406,53190,31080,50978,61944,45348
28061,31578,40903,26858,,,
28063,20743,52414,19124,,,
28065,26279,32228,22818,,,
28067,37143,44334,21745,,123917,
28069,30056,37865,23277,20983,,
28071,44643,47025,38281,,48846,18906
28073,52035,57894,34135,,51620,31278
28075,38132,51134,24369,,51154,68646
28077,35634,42552,22025,,,
28079,33452,37326,26563,53147,,33480
28081,42784,50447,26571,,88407,40278
28083,24233,41980,17283,,77279,37740
28085,36473,42102,22590,,,
28087,40239,56538,2277647375,,,
28089,64376,83939,41272,73043,83688,37083
28091,30668,36550,21083,,,
28093,37419,42446,3143745417,,,
28095,36783,43892,2778360106,,,
28097,30146,45660,19194,,,
28099,35645,39169,26051,40372,,
28101,37045,44917,26809,25329,,70766
28103,26677,47692,18990,,,
28105,32485,41204,21856,56484,35304,32083
28107,36555,47752,3031624208,,,
28109,40976,42584,2228043889,,,
28111,34045,36845,25451,,,
28113,31677,44447,23046,,71125,35921
28115,40645,41974,3286938066,,,
28117,32945,36938,24400,,,
28119,24583,41580,19396,,,
28121,58801,62228,42906,40000,85043,49542
28123,32935,43053,2499431901,,,
28125,30525,60625,2394649375,,,
28127,35375,40999,2627332279,,,
28129,32951,39636,24442,,,
