fips,median_income,median_income_white,median_income_black,median_income_nativeamerican,median_income_asian,median_income_hispanic
4009,45964,47676,,27984,69010,46223
4011,51628,48375,100682,90446,,46000
4012,34466,35247,,30083,,36610
4013,54229,56337,39059,41137,70947,40294
4015,38488,38500,30859,36111,56756,32186
4017,35921,45641,,24805,42396,33107
4019,46162,48801,36278,29877,45337,36745
4021,49477,50501,52107,26310,66494,43213
4023,40140,41819,101563,,73472,34613
4025,44748,45086,50781,37228,71563,36870
4027,40743,41798,44348,26896,69716,35293
6001,75619,82824,42093,52793,95216,57291
6003,52917,59423,,35625,,
6005,54171,54719,,37578,107995,31971
6007,43444,44755,27031,40987,39435,35563
6009,53233,55242,54750,,,
6011,52168,54123,,55208,,45092
6013,80185,85459,50343,56250,100536,58299
6015,40847,42245,9141,50689,,24340
6017,69584,70097,98140,48958,116625,47863
6019,45233,50386,26110,36631,50683,36022
6021,39349,41957,26389,36483,19181,35973
6023,42197,44095,28504,27097,32823,35800
6025,41079,42589,57321,36250,81128,37110
6027,45955,46694,65625,37148,,45514
6029,49026,50315,32429,33876,71908,39686
6031,46481,48190,40991,38816,63568,37384
6033,35578,37724,24111,32750,42075,31597
6035,51555,51130,48500,61905,,46667
6037,56196,62124,40665,46394,66356,45320
6039,45073,45095,35661,33516,53889,39124
6041,93257,101129,54225,,89630,48813
6043,47681,48529,,46111,,37976
6045,42980,44531,19323,30598,49500,35090
6047,42462,45504,32605,35347,50354,37404
6049,37860,38375,,35385,32813,26445
6051,56944,6106686250,45076,,,
6053,58783,59228,59634,58361,68208,48236
6055,71379,72220,73003,50369,99486,52459
6057,56521,56538,,60134,71462,45869
6059,76509,79914,66555,55123,80739,56510
6061,73948,73888,85580,60563,102714,54294
6063,47333,48809,,38377,23355,30918
6065,56603,58994,52127,46960,71601,48510
6067,55987,60420,38792,48547,61374,45042
6069,71077,71115,75972,63750,92727,59295
6071,53433,55421,40705,41581,72134,49633
6073,64309,65480,50227,56297,81673,47896
6075,81294,100091,29800,36198,69577,57948
6077,53274,56313,37428,37697,61128,44550
6079,60691,61694,63224,46250,59421,48178
6081,93623,97207,56213,70792,107531,61383
6083,63985,66814,51695,57699,68710,49516
6085,96310,94691,64219,55508,116152,61124
6087,67256,69441,63977,32056,68528,48648
6089,44620,45180,39193,40240,45983,36457
6091,42833,42396,18194,,,
6093,37170,38610,17784,22230,39500,30472
6095,66828,71497,50790,50324,83281,55834
6097,64240,66800,60091,53208,69885,51334
6099,50125,51489,37772,37049,57620,42964
6101,52017,53549,57432,55156,51821,40639
6103,41001,40919,,38125,58109,43545
6105,34974,35474,,18205,,
6107,42031,42513,22458,36199,57851,34677
6109,50306,50883,30972,43182,52330,48225
6111,77348,76839,74474,59457,103602,59009
6113,54989,59421,36208,53810,46215,46885
6115,46892,48312,37386,31712,52528,41341
8001,58946,60451,43031,56750,58984,46978
8003,32395,32353,24931,54000,,24268
8005,63265,68266,46143,44038,66821,44998
8007,46646,48588,35361,,,
8009,38000,38833,32500,,,
8011,36791,37982,,8929,,31154
8013,70961,72616,52284,38409,74525,42344
8014,81898,8296190586,62424,,,
8015,51092,50909,33750,,,
8017,52554,52609,36806,,,
8019,67710,68680,2851028173,,,
8021,36652,36675,30030,,,
8023,31321,31286,,13214,,24292
8025,31151,31389,,13750,53194,16989
8027,35000,35636,26833,,,
8029,42452,42613,,33750,36743,35710
8031,53637,58585,33139,37257,51968,38740
8033,31875,32057,36346,,,
8035,102964,103212,109333,66442,103926,92710
8037,72214,74237,53015,54637,51943,52067
8039,84963,84336,10552661451,,,
8041,58206,61208,47271,41645,60311,43176
8043,40423,40451,,28478,,41794
8045,56590,58930,34639,,33686,43764
8047,65670,66210,39643,,,
8049,63628,64840,3730833506,,,
8051,48071,48628,,101563,,31454
8053,57083,57875,,,,
8055,31715,32833,,43240,,25049
8057,46014,46892,38750,,,
8059,70164,70920,45554,68851,71856,51220
8061,40304,40439,41563,,,
8063,40603,41563,22462,,,
8065,45367,49688,41216,,,
8067,60278,61385,28922,49663,57344,52960
8069,59805,60557,42036,36506,57875,46256
8071,45067,45376,45069,15568,39659,37436
8073,39005,39398,,25833,,31458
8075,42319,42475,249940699,,,
8077,49322,49658,39271,32689,,39535
8079,48125,52000,45568,,,
8081,51387,5182964231,32129,,,
8083,43553,44878,,28451,,40223
8085,43999,4453988523,34544,,,
8087,48450,48826,41228,30833,,46194
8089,32311,35986,,18904,30565,24850
8091,61624,61984,31719,,,
8093,56969,56462,36176,,,
8095,43639,43417,,12750,,40109
8097,71196,71372,,86250,,35000
8099,40179,40260,28214,,,
8101,41286,43348,40104,34861,37931,34013
8103,61842,61118,,76136,,53750
8105,39672,38786,14561035776,,,
8107,64963,66137,55217,,,
8109,33393,34086,,25500,,31250
8111,36324,36379,21250,,,
8113,56047,55135,48750,,,
8115,44191,46350,70192,,41250,30938
8117,67983,71528,,33958,2499,41211
8119,62372,62444,128750,,92708,42656
8121,45541,45131,34091,,,
8123,60572,62265,37281,47670,70000,43558
8125,43105,44702,26250,,,
9001,84233,94786,46418,43980,112109,47911
9003,66395,73333,42966,26289,86310,34131
9005,72061,72584,64050,,73963,60701
9007,79893,81748,50864,68274,105321,61407
9009,61640,68413,38667,41711,75756,36393
9011,66233,70299,45851,54753,69488,35648
9013,79626,80666,51968,,90176,48113
9015,59392,60866,47056,55579,50938,31520
11001,70848,115890,40677,61985,83064,61087
10001,54976,58299,48490,34177,48917,41556
10003,65476,71263,49681,47074,94421,47696
10005,53751,56665,36482,37411,97607,38682
12001,43073,50142,26561,31900,47236,32105
12003,47121,51751,30553100647,,,
12005,47368,49175,33759,27721,42727,42029
12007,41606,48213,2335553889,,,
12009,48925,50714,33027,54879,55728,42464
12011,51968,56399,42020,41408,63451,51620
12013,34510,35000,30000,55139,61750,
12015,44244,45107,32725,16429,48750,27344
12017,38312,38237,35171,34583,74141,33650
12019,58290,59727,50825,55192,64081,58520
12021,57452,59387,32252,47364,60750,40708
12023,41926,44156,29569,34375,93750,40239
12027,35165,36579,22205,22188,,28697
12029,36292,36789,21667,,,
12031,47690,54477,33145,45795,68057,41265
12033,45390,50794,30842,56161,40284,36743
12035,47866,49324,35800,,63291,47200
12037,40401,40464,36917,27083,51917,51250
12039,35567,48910,29784,,32924,29792
12041,40623,40690,23750,23594,,
12043,34877,34834,22841,85515,,36563
12045,41788,44034,3155629773,,,
12047,35048,40971,2094117292,,,
12049,35457,37104,2690030239,,,
12051,36771,40931,22298,27625,46042,34684
12053,40945,41559,26583,25139,44187,41056
12055,35093,36108,26045,8839,89583,26814
12057,50579,54914,34587,50721,71675,39548
12059,35020,35287,2875010300,,,
12061,45798,47439,26746,,86410,35382
12063,35098,38721,24740,31528,,26071
12065,43355,54559,23821,,,
12067,35864,40250,3165712071,,,
12069,46403,47413,38742,34604,77563,42081
12071,48537,50195,34157,34750,47389,36948
12073,46745,56324,31270,27386,52020,38282
12075,35782,36778,30750,,14250,29163
12077,39406,42766,2620538421,,,
12079,32164,38690,2236160625,,,
12081,49675,51590,35425,53750,61650,34849
12083,39459,40756,30245,,52821,30966
12085,51593,53535,30564,45200,69009,37871
12086,43129,45586,33103,42237,61134,40499
12087,57290,59105,46275,,75192,43500
12089,54116,55071,33250,,64871,53914
12091,55880,58718,38208,62670,48704,46217
12093,35405,35678,28317,,51146,33452
12095,47943,52068,36066,32356,57443,39062
12097,44254,45851,39627,43355,52118,37150
12099,53363,56882,37601,45833,71473,42396
12101,45064,44730,45550,38239,70052,46505
12103,45819,47546,30695,43138,57230,36633
12105,43162,45438,31997,45735,62432,38347
12107,31715,34038,20512,21821,,28316
12109,66194,67032,42171,76563,116250,50146
12111,43459,46015,30826,38885,64583,37262
12113,58923,60549,46517,25278,62351,47892
12115,51766,52680,31037,34410,58659,43207
12117,57010,60254,38754,46875,70719,42922
12119,50350,51247,23750,53350,,31006
12121,36289,38041,2300023333,,,
12123,36181,38511,29341,17067,,41659
12125,39163,40244,28516,86071,,
12127,41117,43139,25982,31767,50705,34411
12129,50340,49726,55511,,,
12131,44966,46422,27813,,66528,43370
12133,38970,40368,28095,,,
13001,37135,39981,2613030907,,,
13003,30933,34130,2459824009,,,
13005,37162,42561,20302,,34706,42802
13007,44297,51538,26806,,,
13009,32460,39592,22906,,39524,
13011,41472,41609,34342,,36146,29375
13013,52012,53176,38643,,69886,41034
13015,48893,51065,37979,56190,56094,33259
13017,29994,38830,1839726005,,,
13019,31835,34538,2606329643,,,
13021,36519,52978,25620,,62300,27026
13023,38991,46932,17738,,,
13025,37206,37212,29861,,,
13027,32663,41641,1952116801,,,
13029,63327,64884,54306,,37857,60219
13031,36032,41190,25995,,48967,28125
13033,33641,49398,19626,,48438,31736
13035,41667,50384,30746124485,,,
13037,25513,40486,21366,,,
13039,52473,58940,38130,40250,87538,63529
13043,30185,34518,22307,,,
13045,43586,46792,32268,,30882,27139
