fips,m_w_ins,m_wo_ins,f_w_ins,f_wo_ins,all_w_ins,all_wo_ins
5121,7056,1477,7688,1129,14744,2606
5123,9159,2301,10761,1502,19920,3803
5125,48403,6658,52131,5374,100534,12032
5127,4655,872,4639,631,9294,1503
5129,3284,668,3306,618,6590,1286
5131,52036,9869,54137,10109,106173,19978
5133,6695,1825,6927,1633,13622,3458
5135,6873,1357,7332,1315,14205,2672
5137,5402,908,5237,859,10639,1767
5139,16488,2920,17939,2885,34427,5805
5141,6656,1663,7101,1386,13757,3049
5143,89087,18167,92453,14933,181540,33100
5145,32331,6006,34463,5243,66794,11249
5147,2662,686,2965,550,5627,1236
5149,8865,1837,9456,1380,18321,3217
4001,25743,9201,28542,7852,54285,17053
4003,47589,6771,55718,6614,103307,13385
4005,53505,13515,57656,11293,111161,24808
4007,21863,4070,22671,3830,44534,7900
4009,13834,2323,15164,2098,28998,4421
4011,4139,584,3643,617,7782,1201
4012,8733,1429,8625,1321,17358,2750
4013,1633881,332342,1747583,275016,3381464,607358
4015,79661,16608,86521,14132,166182,30740
4017,41839,10188,44822,8626,86661,18814
4019,404930,70973,444390,59712,849320,130685
4021,155409,24692,163328,23603,318737,48295
4023,18361,3991,20136,4339,38497,8330
4025,90324,14466,95351,14369,185675,28835
4027,76032,20388,81132,17421,157164,37809
6001,681621,88190,732996,70544,1414617,158734
6003,512,142,400,77,912,219
6005,14369,1631,15820,1060,30189,2691
6007,92483,16326,98566,12938,191049,29264
6009,19250,2526,20634,1972,39884,4498
6011,8848,2183,8582,1592,17430,3775
6013,474034,57497,510094,48931,984128,106428
6015,10237,1462,11012,1310,21249,2772
6017,81148,9011,83819,7027,164967,16038
6019,379453,88591,410573,66736,790026,155327
6021,11142,2797,11606,2187,22748,4984
6023,54679,11986,56929,10368,111608,22354
6025,66068,14972,71962,14770,138030,29742
6027,7794,1063,8106,971,15900,2034
6029,344109,73189,358933,60514,703042,133703
6031,53683,10579,57172,9062,110855,19641
6033,25756,5905,27121,4688,52877,10593
6035,10144,1107,9576,1144,19720,2251
6037,3904322,997326,4230137,837175,8134459,1834501
6039,57486,14771,62076,10344,119562,25115
6041,111107,10737,123055,8224,234162,18961
6043,7924,871,8092,729,16016,1600
6045,35930,7213,38036,5443,73966,12656
6047,106738,23878,112633,17643,219371,41521
6049,3678,797,3881,584,7559,1381
6051,5317,1929,5413,1413,10730,3342
6053,160439,42733,173038,33794,333477,76527
6055,59832,8787,62340,7435,122172,16222
6057,41033,6956,43911,5718,84944,12674
6059,1292176,237090,1361429,208099,2653605,445189
6061,158349,18543,172630,13950,330979,32493
6063,8108,1407,8361,926,16469,2333
6065,916746,207979,974823,175978,1891569,383957
6067,607503,96682,666343,79357,1273846,176039
6069,24382,4284,25574,3155,49956,7439
6071,825890,177988,886691,159538,1712581,337526
6073,1301142,234576,1380888,206949,2682030,441525
6075,384329,40788,380762,30288,765091,71076
6077,290726,55049,311300,42817,602026,97866
6079,117241,17433,120210,14696,237451,32129
6081,330032,36082,349501,29233,679533,65315
6083,175112,37490,186064,30108,361176,67598
6085,840137,93794,849441,75798,1689578,169592
6087,115040,17940,121172,13853,236212,31793
6089,73691,13334,79630,10912,153321,24246
6091,1238,258,1387,108,2625,366
6093,18728,2957,19573,2444,38301,5401
6095,175710,24415,193177,19391,368887,43806
6097,208988,31276,224981,25613,433969,56889
6099,217812,41373,231370,33483,449182,74856
6101,38662,7984,41134,6258,79796,14242
6103,26592,4414,27736,3843,54328,8257
6105,5379,1332,5355,1094,10734,2426
6107,180176,44296,190135,35140,370311,79436
6109,22107,3017,23557,2159,45664,5176
6111,347674,63746,371628,51009,719302,114755
6113,87463,12481,95866,9946,183329,22427
6115,29943,5357,31024,4787,60967,10144
8001,189978,44652,197245,35868,387223,80520
8003,6483,1147,7379,814,13862,1961
8005,252809,43197,271608,35597,524417,78794
8007,4749,1386,4721,1212,9470,2598
8009,1438,301,1643,218,3081,519
8011,1493,338,1601,192,3094,530
8013,140104,14558,141062,12224,281166,26782
8014,27449,2447,28789,1679,56238,4126
8015,7356,1459,7403,1018,14759,2477
8017,811,220,747,179,1558,399
8019,4096,515,4092,306,8188,821
8021,3320,750,3543,595,6863,1345
8023,1581,285,1395,320,2976,605
8025,1759,271,2125,266,3884,537
8027,1613,524,1736,413,3349,937
8029,11449,2812,12536,2420,23985,5232
8031,267697,53725,282385,39310,550082,93035
8033,899,118,758,87,1657,205
8035,143468,8170,147150,7231,290618,15401
8037,22270,5524,20430,4256,42700,9780
8039,10597,1313,10716,1135,21313,2448
8041,266035,37593,290199,30351,556234,67944
8043,14966,2281,16985,1946,31951,4227
8045,20773,7848,21056,6668,41829,14516
8047,2491,343,2426,292,4917,635
8049,6134,1509,5371,1336,11505,2845
8051,6999,1402,6139,1059,13138,2461
8053,356,60,394,64,750,124
8055,2602,584,2728,405,5330,989
8057,582,122,572,54,1154,176
8059,240890,28944,253891,22256,494781,51200
8061,544,115,676,99,1220,214
8063,2923,574,3029,542,5952,1116
8065,3236,742,2684,643,5920,1385
8067,21982,4645,22642,3415,44624,8060
8069,139780,17059,145434,13510,285214,30569
8071,5944,1071,6018,970,11962,2041
8073,1416,115,2073,159,3489,274
8075,9154,2218,8832,1110,17986,3328
8077,62209,10578,64142,9629,126351,20207
8079,353,28,325,27,678,55
8081,5485,1268,5327,913,10812,2181
8083,9654,2983,10467,2391,20121,5374
8085,16045,3781,16771,3816,32816,7597
8087,12045,1757,12343,1744,24388,3501
8089,7592,1415,8057,1311,15649,2726
8091,1844,395,2086,255,3930,650
8093,7209,1208,6891,733,14100,1941
8095,1913,309,1816,268,3729,577
8097,7865,1330,7024,1144,14889,2474
8099,5046,965,5307,732,10353,1697
8101,66883,10100,73703,6961,140586,17061
8103,3068,361,2880,309,5948,670
8105,4698,960,4985,882,9683,1842
8107,10917,1385,9954,1252,20871,2637
8109,2162,937,2244,871,4406,1808
8111,264,63,226,53,490,116
8113,3475,562,3155,453,6630,1015
8115,964,164,1108,99,2072,263
8117,12116,3713,10374,2654,22490,6367
8119,10383,1275,10200,1245,20583,2520
8121,2001,259,2092,170,4093,429
8123,117241,16815,118408,15738,235649,32553
8125,4057,678,4550,756,8607,1434
9001,398180,55567,432919,44703,831099,100270
9003,390154,34444,430902,26115,821056,60559
9005,84207,7090,88395,5185,172602,12275
9007,74580,5483,79505,3690,154085,9173
9009,371693,38036,413529,28371,785222,66407
9011,117687,9625,127638,6301,245325,15926
9013,69525,4026,72384,2882,141909,6908
9015,52591,4669,55081,3442,107672,8111
11001,276285,22198,323314,14813,599599,37011
10001,71860,7217,81320,5658,153180,12875
10003,236835,22972,262252,19167,499087,42139
10005,87643,11295,96771,8798,184414,20093
12001,103064,18026,114762,15667,217826,33693
12003,10298,1772,11081,1480,21379,3252
12005,68041,15563,74296,13119,142337,28682
12007,9447,2538,10148,1770,19595,4308
12009,223646,43920,244237,36499,467883,80419
12011,701051,186805,768123,176118,1469174,362923
12013,4924,1212,5067,1382,9991,2594
12015,65469,12778,72012,12279,137481,25057
12017,56990,9243,62626,8906,119616,18149
12019,81814,12802,87934,11830,169748,24632
12021,129514,37119,141173,31428,270687,68547
12023,25684,4960,27284,5238,52968,10198
12027,12016,6079,12514,2527,24530,8606
12029,5773,1510,5975,1316,11748,2826
12031,348726,69632,393413,61083,742139,130715
12033,116879,22448,132565,18328,249444,40776
12035,40356,7640,45070,7344,85426,14984
12037,3898,1082,3899,903,7797,1985
12039,16381,4465,19672,3451,36053,7916
12041,6212,1652,6150,1794,12362,3446
12043,4492,1533,4683,1214,9175,2747
12045,5660,1346,5374,1079,11034,2425
12047,4472,903,4844,828,9316,1731
12049,9773,3558,9673,2790,19446,6348
12051,12624,6343,12932,4928,25556,11271
12053,69276,13919,77784,11982,147060,25901
12055,39100,8307,42730,7146,81830,15453
12057,513975,113535,566133,97187,1080108,210722
12059,6781,1939,7454,1544,14235,3483
12061,55362,12465,62107,11598,117469,24063
12063,17614,2648,18268,2817,35882,5465
12065,4579,594,5855,714,10434,1308
