fips,age_adjusted_mr,lower_95_ci_for_mr,upper_95_ci_for_mr,avg_deaths_per_year,recent_mr_trend,recent_5-year_mr-trend,lower_95_ci_mr-trend,upper_95_ci_mr-trend
05123,169.4 ,149.3, 191.6,53,falling,-2.7 ,-3.6, -1.8
05031,167.8 ,157.1, 179,188,falling,-0.9 ,-1.2, -0.5
05115,167.2 ,154.2, 181.1,126,falling,-0.8 ,-1.3, -0.3
05131,165.9 ,156.7, 175.5,252,falling,-2.1 ,-3.3, -0.9
05137,165.6 ,142.7, 192.1,40,falling,-1.4 ,-2.1, -0.6
05051,165.5 ,156.4, 175,268,falling,-0.9 ,-1.3, -0.5
05133,164.8 ,139.3, 193.6,31,falling,-1.3 ,-2.1, -0.5
05045,163.6 ,153.3, 174.4,195,falling,-0.8 ,-1.1, -0.5
05101,163.5 ,132.8, 200.7,23,falling,-0.9 ,-1.8, -0.1
05041,163.4 ,136.3, 194.8,27,falling,-1.3 ,-1.9, -0.7
05125,163.2 ,154.1, 172.7,248,falling,-0.7 ,-1.0, -0.4
05065,163.1 ,140.7, 188.9,40,falling,-1.4 ,-2.2, -0.6
05081,162.6 ,136.8, 192.4,30,falling,-1.3 ,-2.2, -0.4
05063,161.1 ,145.3, 178.2,79,falling,-1.1 ,-1.7, -0.5
05119,160.8 ,155.5, 166.2,732,falling,-2.3 ,-3.0, -1.6
05057,159 ,139, 181.4,48,falling,-1.1 ,-1.7, -0.4
05141,156.3 ,136.6, 178.8,48,falling,-1.2 ,-1.7, -0.6
05015,155.9 ,139.4, 174.2,70,falling,-1.3 ,-1.9, -0.8
05143,151.9 ,144.4, 159.6,320,falling,-2.0 ,-2.5, -1.4
05007,151.7 ,145.2, 158.5,414,falling,-0.8 ,-1.0, -0.6
05117,150.6 ,121.6, 185.7,21,falling,-1.4 ,-2.4, -0.4
05073,148.5 ,117.2, 187.1,17,falling,-1.6 ,-2.7, -0.5
04000,135.5 ,134.4, 136.6,12055,falling,-2.0 ,-2.5, -1.6
00000,152.4 ,152.3, 152.6,598381,falling,-2.1 ,-2.3, -1.8
04015,183.8 ,177.5, 190.4,755,falling,-0.9 ,-1.1, -0.7
04003,154 ,146, 162.4,298,falling,-1.1 ,-1.4, -0.9
04025,150.8 ,145.4, 156.4,698,falling,-0.9 ,-1.0, -0.7
04007,144.9 ,133.6, 157.2,146,falling,-1.2 ,-1.7, -0.7
04012,141.1 ,122.3, 162.4,62,stable,-0.9 ,-2.0, 0.2
04019,136.6 ,133.9, 139.5,1960,falling,-2.0 ,-2.9, -1.1
04013,133.5 ,132.1, 135,6537,falling,-2.7 ,-3.8, -1.7
04009,132.8 ,117.1, 150,53,falling,-1.3 ,-1.9, -0.7
04017,132.7 ,123.9, 142,180,falling,-1.3 ,-1.6, -0.9
04011,130.9 ,99.5, 168.9,12,falling,-1.9 ,-3.1, -0.7
04005,129.2 ,120.2, 138.6,166,falling,-1.4 ,-1.7, -1.0
04021,119.9 ,115.8, 124.1,708,falling,-1.8 ,-2.2, -1.5
04001,119.3 ,108.7, 130.8,96,falling,-0.7 ,-1.2, -0.2
04027,114.5 ,108.8, 120.5,318,falling,-1.0 ,-1.4, -0.7
04023,113.9 ,101.7, 127.2,66,falling,-1.6 ,-2.2, -1.0
06000,137.7 ,137.2, 138.2,59626,falling,-1.7 ,-1.7, -1.6
00000,152.4 ,152.3, 152.6,598381,falling,-2.1 ,-2.3, -1.8
06003,225.1 ,123.9, 387.5,3,*,*,*,*
06115,192.8 ,178.5, 207.9,143,falling,-1.0 ,-1.4, -0.5
06033,189.2 ,176.8, 202.2,193,falling,-1.1 ,-1.5, -0.8
06089,173.6 ,166.4, 181.1,459,falling,-1.0 ,-1.2, -0.7
06007,169 ,162.2, 175.9,505,falling,-1.2 ,-1.4, -0.9
06093,168.5 ,154.8, 183.3,125,falling,-0.9 ,-1.3, -0.5
06023,165.8 ,157, 175,287,falling,-1.4 ,-1.6, -1.1
06015,164.4 ,145.9, 184.8,61,falling,-1.4 ,-2.0, -0.8
06099,162.9 ,158, 167.8,895,falling,-1.1 ,-1.3, -0.9
06021,161.7 ,142.7, 182.6,54,falling,-1.4 ,-2.1, -0.7
06103,160.8 ,149.1, 173.3,146,falling,-1.6 ,-2.0, -1.2
06095,158.5 ,153.6, 163.6,822,falling,-1.3 ,-1.5, -1.1
06101,155.9 ,145.7, 166.6,178,falling,-1.3 ,-1.7, -0.9
06077,155.1 ,151.1, 159.3,1147,falling,-1.1 ,-1.2, -0.9
06047,154.6 ,147.5, 161.9,369,falling,-1.2 ,-1.5, -1.0
06071,153.7 ,151.2, 156.2,3014,falling,-1.6 ,-1.8, -1.5
06067,153.3 ,150.6, 156,2537,falling,-1.8 ,-2.4, -1.3
06063,152 ,132.9, 173.7,53,falling,-1.7 ,-2.1, -1.2
06031,151.7 ,142, 161.9,188,falling,-0.9 ,-1.3, -0.6
06045,151.4 ,141.6, 161.7,196,falling,-1.6 ,-1.9, -1.3
06029,150.3 ,146.4, 154.3,1156,falling,-1.4 ,-1.5, -1.2
06109,149.8 ,138.7, 161.8,146,falling,-1.4 ,-1.9, -0.9
06027,148.7 ,129, 171.2,45,falling,-1.5 ,-2.1, -0.9
06035,147.8 ,129.5, 168.1,49,falling,-1.5 ,-2.1, -0.9
06039,147.4 ,139, 156.1,238,falling,-1.2 ,-1.5, -0.9
06005,145.3 ,132.6, 159.1,104,falling,-1.5 ,-2.0, -1.0
06055,144.3 ,136.7, 152.2,285,falling,-1.8 ,-2.1, -1.4
06107,143.4 ,138.2, 148.7,591,falling,-1.2 ,-1.4, -1.0
06009,142.4 ,130.6, 155.3,120,falling,-1.5 ,-1.9, -1.1
06065,141.3 ,139.2, 143.3,3739,falling,-1.7 ,-1.9, -1.5
06043,141 ,121.8, 163,46,falling,-1.7 ,-2.5, -0.8
06019,141 ,137.5, 144.4,1324,falling,-1.3 ,-1.4, -1.2
06073,140.5 ,138.7, 142.2,5060,falling,-2.2 ,-2.7, -1.7
06113,139.5 ,132.3, 147.1,288,falling,-1.9 ,-2.2, -1.5
06097,138.4 ,134.4, 142.5,967,falling,-2.7 ,-3.5, -1.9
06011,138 ,117.2, 161.4,33,falling,-1.9 ,-2.8, -1.0
06049,136.7 ,111.1, 167.9,22,falling,-1.5 ,-2.4, -0.6
06061,136 ,131.6, 140.5,748,falling,-1.7 ,-1.9, -1.5
06057,135.8 ,127.8, 144.3,243,falling,-1.7 ,-2.0, -1.3
06037,135.4 ,134.5, 136.4,14612,falling,-1.5 ,-1.6, -1.5
06079,134.4 ,129.3, 139.8,542,falling,-1.5 ,-1.6, -1.3
06111,134.3 ,131, 137.6,1337,falling,-1.4 ,-1.6, -1.3
06013,133.9 ,131.1, 136.7,1834,falling,-2.2 ,-2.5, -1.8
06017,133.7 ,127.5, 140.1,375,falling,-1.7 ,-2.0, -1.5
06105,132.9 ,112.2, 157.5,32,falling,-2.1 ,-3.0, -1.1
06083,130.2 ,125.7, 134.8,679,falling,-1.3 ,-1.5, -1.1
06087,129.7 ,124, 135.6,415,falling,-1.6 ,-1.9, -1.3
06059,129.4 ,127.7, 131.1,4687,falling,-1.6 ,-1.7, -1.5
06001,128 ,125.6, 130.4,2290,falling,-2.2 ,-2.4, -2.1
06075,126.7 ,123.6, 129.8,1359,falling,-1.9 ,-2.1, -1.8
06053,124.1 ,119.4, 128.8,561,falling,-1.8 ,-2.0, -1.5
06069,122.7 ,110.3, 136.1,75,falling,-2.1 ,-2.6, -1.5
06025,118.6 ,111.5, 126,214,falling,-2.2 ,-2.6, -1.8
06081,117.3 ,114.2, 120.5,1126,falling,-2.6 ,-2.9, -2.3
06085,116.2 ,114.1, 118.3,2404,falling,-3.6 ,-5.0, -2.2
06041,115.5 ,110.9, 120.4,484,falling,-2.2 ,-2.4, -2.0
06091,92.9 ,62.5, 141.7,6,falling,-1.7 ,-3.1, -0.2
06051,73.4 ,55.3, 95.8,12,falling,-2.9 ,-4.3, -1.5
09000,138.5 ,137, 140.1,6588,falling,-2.0 ,-2.2, -1.9
00000,152.4 ,152.3, 152.6,598381,falling,-2.1 ,-2.3, -1.8
09015,167.9 ,158.4, 177.8,248,stable,-0.6 ,-1.4, 0.3
09011,149.6 ,144, 155.5,550,falling,-1.8 ,-2.2, -1.4
09009,144.2 ,141, 147.4,1655,falling,-2.4 ,-2.8, -2.0
09003,139.9 ,136.8, 143,1661,falling,-1.7 ,-1.9, -1.6
09005,138.6 ,132.4, 145.1,396,falling,-1.8 ,-2.1, -1.5
09007,137.6 ,131, 144.6,342,falling,-1.6 ,-1.8, -1.4
09013,131.6 ,124.1, 139.5,239,falling,-1.9 ,-2.2, -1.7
09001,125.9 ,123, 128.9,1497,falling,-2.3 ,-2.5, -2.2
08000,131.6 ,130.3, 133,7832,falling,-1.7 ,-1.8, -1.5
00000,152.4 ,152.3, 152.6,598381,falling,-2.1 ,-2.3, -1.8
08017,210.4 ,137.6, 312.8,6,stable,-0.5 ,-2.7, 1.7
08061,182.1 ,111.9, 290.7,5,*,*,*,*
08099,178 ,149.2, 211.1,28,falling,-0.8 ,-1.6, -0.1
