fips,age_adjusted_ir,lower_95_ci_for_ir,upper_95_ci_for_ir,avg_annual_incidences,recent_trend,recent_5-year_ir-trend,lower_95_ci_for_ir-trend,upper_95_ci_for_ir-trend
00000,448.6 ,448.3, 448.9,1703249,falling,-0.9 ,-1.1, -0.7
04015,418.8 ,408.4, 429.4,1565,falling,-5.9 ,-10.1, -1.4
04025,407.8 ,398, 417.9,1705,falling,-0.7 ,-1.2, -0.3
04019,392.6 ,387.6, 397.6,5207,falling,-0.7 ,-1.0, -0.4
04013,391.3 ,388.7, 393.9,18403,falling,-1.3 ,-1.7, -0.9
04011,387.2 ,332, 448.9,37,stable,-1.0 ,-3.0, 1.1
04003,385.6 ,372.2, 399.5,692,stable,-0.6 ,-1.1, 0.0
04027,369.9 ,358.9, 381.1,921,stable,1.4 ,-0.4, 3.3
04009,367.7 ,340.9, 396,143,stable,-7.9 ,-16.2, 1.3
04005,361.1 ,346.2, 376.4,483,falling,-0.8 ,-1.3, -0.2
04021,351.9 ,344.6, 359.3,1927,falling,-1.1 ,-1.6, -0.6
04017,332.8 ,318.4, 347.7,436,falling,-0.6 ,-1.1, -0.2
04023,330.7 ,309.1, 353.4,186,stable,-0.6 ,-1.7, 0.5
04007,328 ,309.5, 347.5,302,falling,-1.5 ,-2.4, -0.5
04012,315.6 ,285.6, 348.2,128,stable,-0.2 ,-1.4, 1.0
04001,270.7 ,254.2, 288.1,212,falling,-5.0 ,-8.6, -1.2
06000,402.4 ,401.6, 403.3,171164,falling,-1.4 ,-1.7, -1.2
00000,448.6 ,448.3, 448.9,1703249,falling,-0.9 ,-1.1, -0.7
06021,493.9 ,459.7, 530.1,161,stable,0.0 ,-0.8, 0.7
06089,490.3 ,477.6, 503.4,1230,stable,-4.2 ,-9.4, 1.4
06103,479.4 ,458.3, 501.4,414,falling,-0.6 ,-1.0, -0.2
06007,471.1 ,459.4, 483,1353,falling,-0.6 ,-1.0, -0.2
06115,456.8 ,434.6, 479.8,338,falling,-0.8 ,-1.3, -0.2
06061,452.7 ,444.2, 461.3,2305,stable,-3.0 ,-6.1, 0.1
06041,451.4 ,441.5, 461.5,1738,falling,-0.6 ,-0.8, -0.3
06033,451.2 ,431.1, 472,437,falling,-0.8 ,-1.3, -0.4
06005,444.1 ,419.9, 469.5,295,falling,-0.8 ,-1.4, -0.3
06079,442.7 ,432.8, 452.8,1675,stable,0.6 ,-2.3, 3.5
06083,438.4 ,430, 447,2143,stable,-0.3 ,-0.7, 0.0
06017,434.5 ,422.8, 446.4,1173,falling,-1.0 ,-1.4, -0.6
06027,433.3 ,396.4, 472.9,119,stable,-0.6 ,-1.7, 0.6
06045,432.1 ,414.9, 450,535,stable,-0.6 ,-1.2, 0.0
06097,429.7 ,422.4, 437.1,2879,falling,-1.7 ,-2.2, -1.2
06087,428.6 ,418, 439.3,1373,falling,-0.7 ,-1.0, -0.4
06095,428.5 ,420.2, 436.8,2186,falling,-2.0 ,-2.9, -1.1
06023,427.7 ,413.3, 442.6,726,falling,-1.2 ,-1.6, -0.8
06105,426.8 ,384.4, 473.3,93,falling,-1.0 ,-2.0, -0.1
06067,425.9 ,421.3, 430.5,6947,falling,-1.7 ,-2.2, -1.2
06055,421.6 ,408.1, 435.5,781,falling,-3.1 ,-4.1, -2.1
06111,421.6 ,415.7, 427.6,4099,stable,-0.5 ,-1.1, 0.2
06099,420.6 ,412.8, 428.5,2304,falling,-1.1 ,-1.7, -0.5
06063,419.9 ,384.9, 457.8,137,falling,-0.8 ,-1.6, -0.1
06013,419.7 ,414.7, 424.7,5594,falling,-2.0 ,-2.7, -1.4
06073,418.6 ,415.6, 421.7,14754,stable,-0.1 ,-1.2, 1.0
06077,413.4 ,406.8, 420.2,3046,falling,-0.5 ,-0.8, -0.1
06081,412.3 ,406.3, 418.3,3780,falling,-1.6 ,-2.3, -0.9
06057,411.9 ,396.9, 427.4,688,stable,2.0 ,-3.7, 8.0
06059,410.4 ,407.4, 413.5,14489,falling,-0.9 ,-1.0, -0.7
06109,408 ,388.1, 428.8,370,falling,-4.0 ,-5.6, -2.5
06029,406.7 ,400.2, 413.1,3211,falling,-0.9 ,-1.2, -0.6
06009,406.1 ,384.4, 429,321,falling,-0.7 ,-1.3, -0.1
06065,403.2 ,399.7, 406.7,10349,falling,-0.9 ,-1.1, -0.8
06113,400.1 ,387.7, 412.8,819,falling,-1.0 ,-1.4, -0.6
06071,399.9 ,396, 404,8092,falling,-0.9 ,-1.1, -0.7
06101,398.3 ,381.5, 415.7,434,falling,-0.7 ,-1.1, -0.2
06069,395.4 ,372.8, 418.9,242,stable,-0.8 ,-1.5, 0.0
06075,394.5 ,388.9, 400.1,4033,falling,-1.7 ,-2.1, -1.3
06019,392.9 ,387.1, 398.7,3651,falling,-0.8 ,-1.2, -0.5
06039,392.1 ,378.3, 406.3,630,falling,-0.7 ,-1.3, -0.1
06025,391.3 ,378.2, 404.8,691,stable,-0.5 ,-0.9, 0.0
06053,390.8 ,382.4, 399.3,1723,falling,-0.8 ,-1.1, -0.5
06003,386.4 ,242.1, 593.3,6,stable,2.9 ,-2.2, 8.3
06001,385.9 ,381.8, 390.1,6892,falling,-1.7 ,-2.1, -1.2
06035,384.9 ,355.3, 416.5,132,stable,0.6 ,-0.5, 1.8
06085,382.7 ,378.9, 386.6,7808,falling,-1.8 ,-2.1, -1.5
06015,382.7 ,353.5, 413.7,136,falling,-12.3 ,-22.0, -1.4
06047,380.5 ,369.5, 391.8,925,falling,-1.1 ,-1.6, -0.7
06037,377.3 ,375.6, 379,40309,falling,-1.8 ,-2.2, -1.4
06011,377.2 ,341.8, 415.2,88,stable,0.1 ,-1.6, 1.8
06031,374.7 ,359.6, 390.2,483,falling,-0.9 ,-1.4, -0.5
06043,372.1 ,339.7, 407.4,116,falling,-1.5 ,-2.0, -0.9
06107,370.2 ,361.9, 378.7,1540,falling,-1.2 ,-1.5, -0.9
06049,357.8 ,311.4, 410.1,52,stable,-1.5 ,-3.0, 0.1
06093,354.5 ,333.4, 376.7,250,falling,-9.4 ,-14.5, -4.1
06091,319.9 ,245, 414.5,17,stable,-1.3 ,-3.6, 1.0
06051,290.9 ,254.3, 331.6,51,stable,-1.0 ,-2.9, 1.0
09000,465.1 ,462.2, 468,21039,falling,-1.3 ,-1.5, -1.1
00000,448.6 ,448.3, 448.9,1703249,falling,-0.9 ,-1.1, -0.7
09015,488 ,471.5, 504.9,709,stable,-0.1 ,-0.4, 0.2
09005,475.1 ,462.8, 487.6,1270,falling,-0.7 ,-1.1, -0.3
09007,468.7 ,455.8, 482,1088,falling,-1.3 ,-2.0, -0.5
09009,466.4 ,460.5, 472.4,5062,falling,-1.7 ,-2.3, -1.1
09001,464.5 ,458.8, 470.3,5278,stable,-0.6 ,-1.4, 0.1
09003,462 ,456.2, 467.8,5203,falling,-1.2 ,-1.6, -0.9
09011,461.1 ,450.7, 471.6,1616,falling,-2.0 ,-2.9, -1.1
09013,456.5 ,442.1, 471.3,812,falling,-1.0 ,-1.4, -0.6
08000,396.6 ,394.3, 399,23773,falling,-1.4 ,-1.8, -1.1
00000,448.6 ,448.3, 448.9,1703249,falling,-0.9 ,-1.1, -0.7
08061,502.7 ,361.1, 685.8,11,stable,0.7 ,-2.9, 4.5
